y	x
-21.6362428198017	-55.5544709547712
-21.6361885070801	-55.5522575378418
-21.6364132706076	-55.5522257555277
-21.6364100854844	-55.5522209778429
-21.6368198767305	-55.5522034596652
-21.6379738133401	-55.5521062295884
-21.6392694879323	-55.5520226620138
-21.6407998558134	-55.5519303772599
-21.6410047933459	-55.551991313696
-21.6412694938481	-55.5521039664746
-21.6422193311155	-55.5524967424572
-21.6425639949739	-55.5526287574322
-21.642585368827	-55.5529531370849
-21.6425934992731	-55.5540733784438
-21.6425916552544	-55.5544410925359
-21.6426069941372	-55.5554077774287
-21.6426333133131	-55.5568388197572
-21.6426477301866	-55.5583504959941
-21.642659297213	-55.5597637686879
-21.6426816768944	-55.5606290325523
-21.6426617279649	-55.5610999278725
-21.6426573693752	-55.5613770335913
-21.6426774021238	-55.5622313171626
-21.6426877118647	-55.5637239664794
-21.6427323874086	-55.5653524864466
-21.6427278611809	-55.5661976337433
-21.6427230834961	-55.5663108825684
-21.6427135467529	-55.566349029541
-21.6426849365234	-55.5663833618164
-21.6425154637546	-55.5665105301887
-21.6415770258755	-55.5669980216772
-21.6406452935189	-55.56746782735
-21.6404511686415	-55.5675273388625
-21.6400903277099	-55.5671695154161
-21.639334531501	-55.5664010625333
-21.6386098321527	-55.5656110681594
-21.6377190034837	-55.5646654218436
-21.6365899611265	-55.5634876806289
-21.6362642774787	-55.5631827696199
-21.6362642774738	-55.5546640738196
-21.6362428198017	-55.5544709547712
