id	x	y	nivel	phcacl2	mo	p	k	al	ca	mg	hal	sb	t	v	cu	mn	fe	zn	areia	silte	argila
1	-55.5529993631529	-21.6422009903013	5	5.38	33.50	20.76	0.35	0.00	5.12	2.01	3.59	7.48	11.07	67.59	4.64	52.01	43.87	16.08	200.00	175.00	625.00
2	-55.5527265675526	-21.641586901104	5	5.36	33.53	5.71	0.38	0.00	4.18	2.35	3.86	6.90	10.77	64.11	5.62	61.71	33.19	10.79	225.00	175.00	600.00
3	-55.5523491439546	-21.640917233994	5	5.13	38.72	12.74	0.35	0.00	6.35	2.49	3.99	9.19	13.18	69.72	6.83	70.92	56.49	8.46	200.00	150.00	650.00
4	-55.5525250404009	-21.6396742431468	5	5.23	33.41	18.33	0.36	0.00	6.15	2.50	3.59	9.00	12.59	71.51	6.93	59.75	71.13	9.63	200.00	150.00	650.00
5	-55.552381822917	-21.6402979897105	5	5.48	35.93	12.36	0.58	0.00	6.52	2.54	3.33	9.63	12.96	74.31	5.43	52.09	38.70	5.57	200.00	150.00	650.00
6	-55.5530815124512	-21.6409072875977	5	5.28	32.59	20.85	0.60	0.00	6.18	2.22	3.59	8.99	12.58	71.48	7.22	66.87	53.21	7.56	200.00	150.00	650.00
7	-55.5534019470215	-21.6415500640869	5	5.07	31.73	7.35	0.65	0.00	7.53	2.22	3.86	10.40	14.26	72.91	5.72	63.94	44.02	4.19	200.00	150.00	650.00
8	-55.5537287536916	-21.6422073429052	5	5.39	26.49	19.55	0.61	0.00	4.64	2.18	3.51	7.43	10.94	67.90	8.84	52.81	91.55	6.96	250.00	150.00	600.00
9	-55.5544382640487	-21.6422090028653	5	4.73	33.41	8.54	0.59	0.24	4.72	1.50	5.91	6.82	12.73	53.56	7.29	50.04	32.84	5.02	300.00	150.00	550.00
10	-55.5541343688965	-21.6415863037109	5	4.83	31.82	14.23	0.66	0.00	5.15	2.41	5.43	8.22	13.65	60.23	7.92	55.96	58.61	6.47	250.00	175.00	575.00
11	-55.5537948608398	-21.6409072875977	5	5.07	32.59	10.50	0.64	0.00	5.95	2.32	4.44	8.92	13.35	66.78	7.17	56.38	62.58	5.41	200.00	175.00	625.00
12	-55.5530776977539	-21.6402740478516	5	5.13	34.65	17.59	0.44	0.00	6.19	2.29	3.95	8.93	12.87	69.34	7.53	57.13	76.00	5.18	200.00	150.00	650.00
13	-55.5532150268555	-21.6396732330322	5	5.15	24.39	7.07	0.41	0.00	4.23	2.25	3.99	6.88	10.87	63.30	5.93	51.73	33.29	7.27	200.00	150.00	650.00
14	-55.5525476962031	-21.6390747188128	5	5.28	32.45	12.36	0.52	0.00	8.38	2.60	3.63	11.50	15.12	76.03	2.66	79.94	47.21	4.72	225.00	125.00	650.00
15	-55.5526902901929	-21.638432694544	5	5.08	39.62	12.36	0.75	0.00	6.76	2.42	4.30	9.94	14.23	69.81	6.97	92.05	70.38	6.65	200.00	175.00	625.00
16	-55.5525010809992	-21.6365946290599	5	5.57	42.13	9.66	0.61	0.00	8.13	3.04	3.19	11.78	14.97	78.68	5.65	47.24	27.57	3.39	200.00	175.00	625.00
17	-55.5528449685857	-21.6371945723449	5	5.43	31.82	8.26	0.43	0.00	6.32	2.60	3.55	9.35	12.90	72.48	7.84	62.81	45.10	8.49	225.00	150.00	625.00
18	-55.5527440343217	-21.6378919985239	5	5.37	39.11	9.75	0.44	0.00	6.19	2.71	3.82	9.34	13.17	70.96	6.07	62.30	27.22	5.08	250.00	150.00	600.00
19	-55.5534362792969	-21.6384696960449	5	5.10	31.41	14.88	0.55	0.00	3.79	2.08	4.68	6.41	11.09	57.82	5.03	43.44	29.43	5.00	225.00	175.00	600.00
20	-55.5532646179199	-21.6390647888184	5	5.02	35.04	11.80	0.59	0.00	5.60	1.81	4.99	8.01	12.99	61.62	5.33	68.43	41.56	4.41	200.00	150.00	650.00
21	-55.553955078125	-21.639669418335	5	5.68	33.73	16.84	0.54	0.00	7.33	3.15	3.06	11.01	14.07	78.26	5.99	51.66	58.92	3.94	200.00	175.00	625.00
22	-55.5538101196289	-21.6403045654297	5	5.23	26.70	12.83	0.55	0.00	6.67	2.34	3.74	9.56	13.30	71.86	7.42	63.86	42.09	4.40	200.00	200.00	600.00
23	-55.554515838623	-21.6409435272217	5	4.95	28.59	20.67	0.54	0.00	5.96	2.13	4.39	8.62	13.01	66.27	7.97	46.84	79.68	4.95	250.00	175.00	575.00
24	-55.5548439025879	-21.6415824890137	5	5.51	30.48	19.55	1.05	0.00	5.95	2.51	3.23	9.50	12.73	74.66	7.27	60.11	79.62	5.35	300.00	150.00	550.00
25	-55.5551675652068	-21.6422243812266	5	5.06	23.02	16.19	0.50	0.00	3.60	1.98	4.03	6.08	10.11	60.13	8.94	60.80	60.21	6.25	300.00	200.00	500.00
26	-55.5559048508948	-21.642226276527	5	5.45	25.58	12.08	0.58	0.00	6.22	2.00	3.47	8.81	12.29	71.72	7.86	74.55	67.62	5.96	350.00	150.00	500.00
27	-55.5555610656738	-21.6415939331055	5	5.23	27.85	24.31	0.66	0.00	4.00	1.58	3.63	6.24	9.86	63.24	11.15	74.15	76.56	11.56	300.00	175.00	525.00
28	-55.5552101135254	-21.6408977508545	5	4.88	26.13	36.81	0.56	0.00	6.03	1.79	4.99	8.38	13.37	62.69	8.33	62.89	48.12	5.38	350.00	150.00	500.00
29	-55.5545501708984	-21.6403274536133	5	5.21	31.16	16.66	0.53	0.00	7.34	2.20	4.21	10.06	14.27	70.52	6.63	52.51	28.65	3.31	250.00	150.00	600.00
30	-55.5546607971191	-21.6397037506104	5	5.32	34.96	22.07	0.38	0.00	6.57	2.49	4.21	9.44	13.65	69.19	6.59	96.49	32.96	5.45	250.00	150.00	600.00
31	-55.5539474487305	-21.6390991210938	5	5.51	34.41	15.44	0.31	0.00	6.94	2.88	3.16	10.13	13.28	76.23	6.13	65.80	46.88	6.54	250.00	150.00	600.00
32	-55.5541496276855	-21.6384506225586	5	5.17	39.38	19.17	0.39	0.00	6.40	1.17	3.91	7.96	11.87	67.10	5.86	63.81	27.09	5.38	250.00	150.00	600.00
33	-55.5534896850586	-21.637882232666	5	5.09	37.54	10.68	0.38	0.00	5.28	1.46	3.91	7.12	11.03	64.58	5.76	47.38	57.18	4.34	225.00	175.00	600.00
34	-55.5535697937012	-21.6371650695801	5	5.22	35.96	16.47	0.46	0.00	6.52	2.80	3.95	9.79	13.73	71.26	5.78	59.14	46.74	5.68	225.00	150.00	625.00
35	-55.5531657493278	-21.6366094512629	5	5.10	37.80	8.91	0.62	0.00	4.63	1.94	4.34	7.19	11.53	62.35	6.11	42.65	24.85	2.42	200.00	175.00	625.00
36	-55.5538841991009	-21.636620222496	5	4.90	39.78	17.12	0.29	0.00	5.58	1.67	4.53	7.54	12.07	62.47	5.58	58.53	29.20	4.34	200.00	150.00	650.00
37	-55.5542869567871	-21.6371974945068	5	5.30	39.02	17.87	0.57	0.00	6.00	2.90	3.78	9.47	13.25	71.45	4.97	45.88	42.99	4.69	225.00	175.00	600.00
38	-55.5541915893555	-21.6378631591797	5	5.31	39.06	14.14	0.60	0.00	6.27	2.87	3.91	9.74	13.64	71.37	4.98	57.31	41.32	4.36	250.00	150.00	600.00
39	-55.5548286437988	-21.6384372711182	5	5.00	36.31	14.88	0.36	0.00	5.89	2.77	4.53	9.02	13.55	66.56	6.16	46.90	46.09	4.32	250.00	175.00	575.00
40	-55.5546455383301	-21.6390819549561	5	5.20	27.65	18.52	0.39	0.00	6.16	2.66	4.16	9.22	13.38	68.89	1.85	15.33	13.54	1.50	250.00	150.00	600.00
41	-55.5553741455078	-21.6397304534912	5	5.00	30.94	20.67	0.31	0.00	5.40	2.10	4.25	7.81	12.06	64.75	7.07	49.08	63.98	4.25	250.00	200.00	550.00
42	-55.5552406311035	-21.6403026580811	5	5.02	31.48	17.31	0.65	0.00	5.33	1.94	3.29	7.92	11.22	70.62	7.82	75.14	26.96	8.49	275.00	175.00	550.00
43	-55.5559158325195	-21.6409530639648	5	5.30	29.65	22.72	0.46	0.00	5.66	2.13	3.33	8.25	11.58	71.23	11.33	115.90	54.72	7.58	350.00	150.00	500.00
